index,title,issn,zone
157,Quaternary Science Advances,2666-0334,3区
158,Egyptian Journal of Remote Sensing and Space Sciences,1110-9823,3区
159,JOURNAL OF STRUCTURAL GEOLOGY,0191-8141,3区
160,Geoscience Letters,2196-4092,3区
161,Geochronology,2628-3719,3区
162,EARTH SURFACE PROCESSES AND LANDFORMS,0197-9337,3区
163,Geobiology,1472-4677,3区
164,JOURNAL OF THE ATMOSPHERIC SCIENCES,0022-4928,3区
165,Earth Systems and Environment,2509-9426,3区
166,TERRA NOVA,0954-4879,3区
167,MARINE CHEMISTRY,0304-4203,3区
168,MONTHLY WEATHER REVIEW,0027-0644,3区
169,RADIOCARBON,0033-8222,3区
170,Quaternary,2571-550X,3区
171,SEISMOLOGICAL RESEARCH LETTERS,0895-0695,3区
172,JOURNAL OF HYDROMETEOROLOGY,1525-755X,3区
173,Earth and Planetary Physics,2096-3955,3区
174,WEATHER AND FORECASTING,0882-8156,3区
175,Mathematical Geosciences,1874-8961,3区
176,Progress in Disaster Science,2590-0617,3区
177,Atmospheric Measurement Techniques,1867-1381,3区
178,BOREAS,0300-9483,3区
179,AMERICAN MINERALOGIST,0003-004X,3区
180,JOURNAL OF VOLCANOLOGY AND GEOTHERMAL RESEARCH,0377-0273,3区
181,ACTA PALAEONTOLOGICA POLONICA,0567-7920,3区
182,Navigation-Journal of the Institute of Navigation,0028-1522,3区
183,Progress in Physical Geography-Earth and Environment,0309-1333,3区
184,JOURNAL OF MARINE SYSTEMS,0924-7963,3区
185,QUATERNARY INTERNATIONAL,1040-6182,3区
186,ENVIRONMENTAL ARCHAEOLOGY,1461-4103,3区
187,Quaternary Geochronology,1871-1014,3区
188,PALAEONTOGRAPHICA ABTEILUNG A-PALAOZOOLOGIE-STRATIGRAPHIE,0375-0442,3区
189,ISPRS International Journal of Geo-Information,2220-9964,3区
190,Palaeoworld,1871-174X,3区
191,RIVISTA ITALIANA DI PALEONTOLOGIA E STRATIGRAFIA,0035-6883,3区
192,FACIES,0172-9179,3区
193,JOURNAL OF APPLIED GEOPHYSICS,0926-9851,3区
194,EARTH PLANETS AND SPACE,1880-5981,3区
195,Progress in Earth and Planetary Science,2197-4284,3区
196,JOURNAL OF THE GEOLOGICAL SOCIETY,0016-7649,3区
197,INTERNATIONAL JOURNAL OF CLIMATOLOGY,0899-8418,3区
198,Remote Sensing Applications-Society and Environment,2352-9385,3区
199,INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,0020-7128,3区
200,ADVANCES IN SPACE RESEARCH,0273-1177,3区
201,Earth and Space Science,2333-5084,3区
202,PHOTOGRAMMETRIC RECORD,0031-868X,3区
203,ESTUARINE COASTAL AND SHELF SCIENCE,0272-7714,3区
204,ORGANIC GEOCHEMISTRY,0146-6380,3区
205,JOURNAL OF GLACIOLOGY,0022-1430,3区
206,PROGRESS IN OCEANOGRAPHY,0079-6611,3区
207,Swiss Journal of Geosciences,1661-8726,3区
208,Geoscience Data Journal,2049-6060,3区
209,PalZ,0031-0220,3区
210,QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY,0035-9009,3区
211,GEOSTANDARDS AND GEOANALYTICAL RESEARCH,1639-4488,3区
212,GEOLOGICAL MAGAZINE,0016-7568,3区
213,DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,0967-0645,3区
214,GEOBIOS,0016-6995,3区
215,AAPG BULLETIN,0149-1423,3区
216,Geochemistry,0009-2819,3区
217,IEEE Geoscience and Remote Sensing Letters,1545-598X,3区
218,European Journal of Remote Sensing,2279-7254,3区
219,JOURNAL OF QUATERNARY SCIENCE,0267-8179,3区
220,VADOSE ZONE JOURNAL,1539-1663,3区
221,Transactions in GIS,1361-1682,3区
222,LETHAIA,0024-1164,3区
223,APPLIED GEOCHEMISTRY,0883-2927,3区
224,HYDROLOGICAL PROCESSES,0885-6087,3区
225,JOURNAL OF SEA RESEARCH,1385-1101,3区
226,Applied Computing and Geosciences,2590-1974,3区
227,Polar Geography,1088-937X,3区
228,COMPUTATIONAL GEOSCIENCES,1420-0597,3区
229,OCEAN DYNAMICS,1616-7341,3区
230,QUATERNARY RESEARCH,0033-5894,3区
231,Geosciences,2076-3263,3区
232,HOLOCENE,0959-6836,3区
233,MARINE GEODESY,0149-0419,3区
234,PHYSICS OF THE EARTH AND PLANETARY INTERIORS,0031-9201,3区
235,Geodesy and Geodynamics,1674-9847,3区
236,HYDROGEOLOGY JOURNAL,1431-2174,3区
237,Journal of Marine Science and Engineering,2077-1312,3区
238,Geothermal Energy,2195-9706,3区
239,PHYSICS AND CHEMISTRY OF THE EARTH,1474-7065,3区
240,ANNALES GEOPHYSICAE,0992-7689,3区
241,Journal of Southern Hemisphere Earth Systems Science,2206-5865,3区
242,CONTINENTAL SHELF RESEARCH,0278-4343,3区
243,INTERNATIONAL JOURNAL OF EARTH SCIENCES,1437-3254,3区
244,JOURNAL OF ATMOSPHERIC CHEMISTRY,0167-7764,3区
245,JOURNAL OF SEDIMENTARY RESEARCH,1527-1404,3区
246,MARINE MICROPALEONTOLOGY,0377-8398,3区
247,JOURNAL OF GEODYNAMICS,0264-3707,3区
248,JOURNAL OF AFRICAN EARTH SCIENCES,1464-343X,3区
249,Earth Science Informatics,1865-0473,3区
250,EUROPEAN JOURNAL OF MINERALOGY,0935-1221,3区
251,BOLLETTINO DELLA SOCIETA PALEONTOLOGICA ITALIANA,0375-7633,3区
252,Solid Earth Sciences,2451-912X,3区
253,E&G Quaternary Science Journal,0424-7116,3区
254,Journal of Geophysics and Engineering,1742-2132,3区
255,Journal of Applied Meteorology and Climatology,1558-8424,3区
256,METEORITICS & PLANETARY SCIENCE,1086-9379,3区
257,HISTORICAL BIOLOGY,0891-2963,3区
258,Journal of Groundwater Science and Engineering,2305-7068,3区
259,Earthquake Science,1674-4519,3区
260,Acta Geochimica,2096-0956,3区
